,text,explanation,origin
742,(The) fat of the land,Living well; fed by abundant crops. ,English
743,Fate worse than death - A ,"Any misfortune that would make life unlivable, especially rape
 or loss of virginity. The phrase was formerly a euphemism for rape. ",English
744,Feather in one's cap - A ,A symbol of honour and achievement.,English
745,Fed up,"To  have had more than enough of something or someone, or to be  bored with or tired of the same.",English
746,Feeding frenzy,An aggressive attack on prey by a group of sharks. The resulting boiling and bloody sea results in the sharks wildly attacking any creature nearby - even their own kind.,English
747,(It) fell off the back of a truck,A euphemism for 'acquired illegally'.,English
748,Fell swoop - At one,'At one fell swoop' means 'suddenly; in a single action'.,English
749,Fellow traveller,"Someone
 sympathetic toward a certain point of view without being a fully paid-up member
 of the club.",English
750,Female of the species is more deadly then the male - The,See also: the List of Proverbs.,English
751,Fend for yourself,"To  'fend for yourself' is to provide for yourself - to be able to cope with whatever life throws at you. The expression is usually applied to youngsters, animal or human, who have previously been taken care of by their parents.",English
752,Fend off,To  'fend off' is to resist; to keep (someone or something) from coming near.,English
753,Fiddlesticks,"An exclamation made to indicate ""nonsense; rubbish"".",English
754,Fiddling while Rome burns,To occupy oneself with unimportant matters and neglect priorities during a crisis.,English
755,"Fie, foh, fum, I smell the blood of an Englishman","A nonsense rhyme, usually heard as part of the Jack The Giant Killer fable.",English
756,Field day,A day of excitement or a circumstance of opportunity.,English
757,Fifteen minutes of fame,"This is a well-known as a quotation from Andy Warhol. It does derive from Warhol - his actual line was ""In the future everybody will be world famous for fifteen minutes."".",English
758,Fifth column,Infiltrators or collaborators with the enemy. ,English
759,Fight fire with fire,Respond to an attack by using a similar method as one's attacker.,English
760,Fight the good fight,An evangelical call to believe in and spread the Christian faith.,English
761,Filthy rich,"Very rich, possibly having become so by unfair means.",English
762,Finagle's Law,"The so-called law is usually expressed as 'If anything can go wrong, it will'.",English
763,Fine as frog's hair,"Extremely fine, that is, delicate and slender.",English
764,Fine words butter no parsnips,The proverb 'Fine words butter no parsnips' means that nothing concrete is achieved by empty words or flattery.,English
765,Finger lickin good,Excellent - especially of food. Known primarily as the slogan of the KFC food chain.,English
766,Fingers and thumbs,"Clumsy, unable to hold things steadily in one's hands. 'All fingers and thumbs' is how we might describe ourselves during a temporary loss of manual dexterity. ",English
767,First dibs,"'First dibs' is an exclamation that is used, primarily by children but also by adults, to establish a claim on something. The first person to call out 'dibs' or 'first dibs' has the option on the first use or the ownership of the item claimed.",English
768,First water,Of the highest quality. ,English
769,First World,"Originally the term referred just to the USA
 (see origin below), but now is understood to mean the most industrially
 developed, wealthy and powerful nations of the world. These
 countries are often referred to loosely as 'The West', although
 the First World certainly includes Japan and Australia.",English
770,Fish rot from the head down ,"When an organization or state fails, it is the leadership that is the root cause.",English
771,Fish or cut bait,"There is some uncertainty about the precise meaning of this phrase. Some use it to mean 'make a choice about what you intend to do'; others have it that it means 'either get to work in a productive manner or do something else and let someone else work'. The second meaning, which I favour, and which is more common, is similar in meaning to 'put up or shut up', or the 20th century US vulgarism 'shit or get off the pot'.",English
772,Fish out of water - A ,"Someone who is in a situation they are unsuited to.
",English
773,As fit as a butcher's dog,Very fit.,English
774,Fit as a fiddle,To be 'as fit as a fiddle' is to be very fit and well.,English
775,Fifth column,Infiltrators or collaborators with the enemy. ,English
776,Fifth estate,The fifth power in the land.,English
777,Fits and starts,Spasmodically; at irregular intervals.,English
778,Fits to a tee,If something is said to fit 'to a T' it fits exactly; properly; precisely.  ,English
779,Five o'clock shadow,"Beard regrowth that darkens a man's features late in the day, following a morning shave.",English
780,Fixer-upper,A property or item that is in need of repair and is offered for sale at a low price.,English
781,Flash in the pan,"Something which disappoints by failing to deliver anything of value, despite a showy beginning.",English
782,Flat out,Using all of one's efforts; at top speed.,English
783,Flavor of the month,"Something that is prominent in the public eye for a short time then fades out of interest. Originally a term of approval for something that was up to the minute and desirable. It has been used ironically from the late 20th century to pass disdainful comment on things which pass out of fashion quickly; for example, the ""one hit wonders"" of the music business. ",English
784,Flesh and blood,"One's flesh and blood may refer to one's family, or may denote all mankind. It is also used to denote the living material of which people are mostly composed. ",English
785,Flogging a dead horse,To flog a dead horse is to attempt to revive an interest which has died out;  to engage in fruitless effort.,English
786,Floozie in the jacuzzi - The ,"The floozie (or floosie or floozy) in the jacuzzi is the nickname of the bronze statue, properly called Anna Livia, previously in O'Connell Street, Dublin, Ireland. It personifies the River Liffey, which passes nearby. ",English
787,Flotsam and jetsam,"Ships' goods which are lost at sea. Also used figuratively in non-nautical contexts to means odds and ends, bits and pieces.",English
